,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Afterhyperpolarization (mV),Burstiness,ISI Fano factor,ISI adaptation index,ISI average adaptation index,ISI coefficient of variation,Input resistance (MOhm),Latency (ms),Max number of APs,Membrane time constant (ms),Rebound number of APs,Resting membrane potential (mV),Rheobase (pA),Sag ratio,Spike frequency adaptation,Upstroke-to-downstroke ratio
656901554,0.30127030109658826,49.281254132588685,0.9353201756504184,0.9700388147267335,0.08383057916593797,-43.75000381469722,0.7666666666666655,0.0,-3.59375,0.0,0.07365144165903835,0.9739478957915827,1.6250308992242342,1.092735596471127,,19.600000000000005,8,,0,-61.989242377811,80.0,,0.14285714285714285,2.577052324485009
657184390,2.831394083735008,79.55208460489908,0.7065602042635725,0.917688557044109,0.2339247623882201,-43.10416793823242,0.7666666666666655,0.0,0.9791653951009138,0.0,0.00450011322798208,1.6624999999999976,1.4030589586539566,0.42361096762380607,,3.9333333333333305,7,,0,-64.34142626105415,280.0,,0.0,3.498836742629275
657185355,0.17121718820751602,58.27083746592205,0.7758312745744141,0.9898920871374095,0.060075062571401786,-44.500003814697266,1.1000000000000036,0.0,7.9375,0.0,0.0011186600080802685,2.424342105263156,1.1089383780971813,0.2009882480908575,,7.833333333333331,18,,0,-69.36635026974147,140.0,,0.8,4.679377505341657
657442490,0.821700260361095,67.75000095367432,0.9172817302865958,0.9746717469700608,0.12499318229783882,-52.5625,0.5000000000000004,0.0,-5.802087148030601,0.0,0.023383257713248645,0.9745454545454528,1.5877755605631547,0.7978520002702648,,9.2,13,,0,-71.62530729166667,110.0,,0.4444444444444444,2.2868727842420022
657454163,0.32717045380917326,67.46875381469714,0.9207966790242827,0.9146236897870352,0.0726364648545969,-44.96875381469714,0.5000000000000004,0.0,-6.552083333333464,0.0,0.09281552132701422,20.780645161290323,20.780645161290323,0.908175355450237,,9.666666666666671,3,,0,-70.75795411088733,220.0,,,2.203938450060751
657661669,0.5766735948656245,75.57291920979836,0.9229497092875754,0.9727233851918214,0.09629379867945918,-49.57291920979818,0.5000000000000004,0.0,-13.739584604899107,0.0,0.0005327661677951431,1.0865051903114178,1.0662589834968959,0.1942580092341624,,9.366666666666662,12,,0,-77.28508356730143,270.0,,0.0,2.158618090628784
657661984,0.2362251506582769,70.18750572204527,0.9590382936332683,0.9780361758045251,0.061196089115675145,-48.593753814697266,0.4666666666666708,0.0,-9.885416666666693,0.0,0.10838757134115125,1.2106918238993685,2.2628333289829707,1.4106048084019307,,11.399999999999993,8,,0,-74.6260935643514,200.0,,0.14285714285714285,2.1268199077065044
657675492,0.5880324148662553,77.62500381469724,0.9071390440253629,0.9863723683817985,0.10054822815895885,-37.343753814697244,0.4666666666666569,0.0,-16.93750000000002,0.0,0.0020395293828525804,1.2163265306122448,1.0590105497114835,0.3185862158322181,,12.06666666666667,25,,0,-64.08422464497885,280.0,,0.6666666666666666,1.9058793340737812
657857340,0.2318427204870424,80.97916920979807,0.9207615309255945,0.9899212843106937,0.05901418655351362,-40.22916920979807,0.5333333333333301,0.0,-14.812501271565857,0.0,0.0004940997572596204,1.0534351145038183,1.027981699995658,0.15631406907113277,,13.433333333333339,24,,0,-65.14921843295627,130.0,,0.8461538461538461,2.125983057550946
657858349,0.5987400165281882,70.10417238871257,0.923179780108218,0.9707592154671283,0.10270177528516101,-46.375003814697266,0.5666666666666598,0.0,-10.708333333333357,0.0,0.005424491214764255,1.5465587044534437,1.193395783476239,0.4302745855078285,,18.299999999999997,13,,0,-70.09342354838053,70.0,,0.3,1.9204282734713924
657983207,0.9049319504560368,79.62500127156567,0.945054977871244,0.9666341236852298,0.11759655582156152,-43.53125,0.36666666666665404,0.0,-14.864585876464837,0.0,0.004461585463900946,1.2197530864197526,1.1840857149012463,0.38115080700595383,,9.700000000000001,10,,0,-61.67539875496758,190.0,,0.1111111111111111,1.8358306734098586
657984709,0.03029969498698416,57.645836512247826,0.9535598256609258,0.9753586363905427,0.023300588383365465,-45.552085876464815,0.40000000000001146,0.0,-14.29166793823245,0.0,1.007462686567176e-05,0.9350180505415159,0.9350180505415159,0.033582089552239014,,7.166666666666669,3,,0,-73.38820836469863,340.0,,,1.6356194545865892
657985196,0.08606450798510622,56.802087783813334,0.9602053722596389,0.9969241787280378,0.04163533751949878,-35.760419209798,0.4333333333333411,0.0,-16.395830790201956,0.0,7.484154796126e-05,1.0294117647058822,1.005240908100035,0.08502840054985691,,7.266666666666671,48,,0,-64.04700144492254,310.0,,0.92,1.7346750466911507
657999088,0.5870588509762305,79.17708714803072,0.9419812889233569,0.9870444029886861,0.09875325566125177,-40.02083714803057,0.4666666666666708,0.0,-18.031247456868527,0.0,0.0010608578379972756,0.9970501474926257,1.0318772657408906,0.24358852889915583,,12.866666666666665,28,,0,-64.25136451297335,220.0,,0.75,2.0075613064492104
658012080,0.3787404199138307,64.07292238871246,0.9460250215540612,0.9895591120978845,0.08644822605689548,-37.28125381469716,0.5000000000000004,0.0,-15.187500000000107,0.0,0.0006399277476183257,1.2819383259911896,1.0407519459360928,0.19860951033588056,,9.900000000000006,30,,0,-70.0718615061442,280.0,,0.7647058823529411,1.8537381261125716
